"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL3706770";"";"None";"297.31";"0";"2.44";"2d";"COc1cc2c(cc1OC)Oc1cc(N)c(C#N)c(N)c1C2";"IC50";"'='";"330.0";"nM";"6.48";"";"";"UO_0000065";"21.80";"0.40";"4.04";"6.26";"0";"CHEMBL832345";"Concentration of 50% inhibition by compound towards mitogen activated protein kinase -activated protein kinase 2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142035";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";""
"CHEMBL3706771";"";"None";"253.26";"0";"2.12";"2e";"N#Cc1c(N)cc2c(c1N)Cc1cccc(O)c1O2";"IC50";"'='";"460.0";"nM";"6.34";"";"";"UO_0000065";"25.02";"0.46";"4.22";"6.02";"0";"CHEMBL832345";"Concentration of 50% inhibition by compound towards mitogen activated protein kinase -activated protein kinase 2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142035";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";""
"CHEMBL200499";"";"None";"333.42";"0";"4.22";"9c";"O=C(NCc1ccccc1)c1cc2c(-c3ccccc3)[nH]nc2s1";"IC50";"'='";"17000.0";"nM";"4.77";"";"";"UO_0000065";"14.30";"0.27";"0.55";"8.25";"0";"CHEMBL864558";"Inhibitory activity against MK2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148538";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";""
"CHEMBL371242";"";"None";"237.33";"0";"2.46";"8b";"CCCCNC(=O)c1cc2c(C)n[nH]c2s1";"IC50";"'>'";"20000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL864558";"Inhibitory activity against MK2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148538";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";""
"CHEMBL3706776";"";"None";"339.35";"0";"2.21";"2i";"N#Cc1c(N)cc2c(c1N)Cc1cc(O)c(C3COCCO3)cc1O2";"IC50";"'='";"11900.0";"nM";"4.92";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL837481";"Inhibition of TNFalpha expression in U937 cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"U-937";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142035";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"CHEMBL3308006";""
"CHEMBL3706777";"";"None";"269.26";"0";"1.83";"2j";"N#Cc1c(N)cc2c(c1N)Cc1c(O)cc(O)cc1O2";"IC50";"'='";"690.0";"nM";"6.16";"";"";"UO_0000065";"22.88";"0.42";"4.33";"4.91";"0";"CHEMBL832345";"Concentration of 50% inhibition by compound towards mitogen activated protein kinase -activated protein kinase 2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142035";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";""
"CHEMBL3706778";"";"None";"297.31";"0";"2.52";"2k";"CCOc1cc2c(cc1O)Cc1c(cc(N)c(C#N)c1N)O2";"IC50";"'='";"9400.0";"nM";"5.03";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL837481";"Inhibition of TNFalpha expression in U937 cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"U-937";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142035";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"CHEMBL3308006";""
"CHEMBL3706768";"";"None";"311.34";"0";"3.07";"3b";"CCCNc1c(C#N)c(N)cc2c1Cc1cc(O)c(O)cc1O2";"IC50";"'='";"403.0";"nM";"6.39";"";"";"UO_0000065";"20.54";"0.38";"3.32";"5.73";"0";"CHEMBL832345";"Concentration of 50% inhibition by compound towards mitogen activated protein kinase -activated protein kinase 2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142035";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";""
"CHEMBL1783552";"";"None";"307.81";"0";"1.88";"3g";"Nc1ncc(Cl)nc1CNC(=S)NCc1ccccc1";"IC50";"'='";"36000.0";"nM";"4.44";"";"";"UO_0000065";"14.44";"0.30";"2.56";"5.86";"0";"CHEMBL1786602";"Inhibition of MK2 using biotin-LCAYSRALSRQLSSGVSEIRH substrate";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1782048";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";""
"CHEMBL1783555";"";"None";"330.89";"0";"1.41";"3j";"CCN(CC)CCCNC(=S)NCc1nc(Cl)cnc1N";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1786602";"Inhibition of MK2 using biotin-LCAYSRALSRQLSSGVSEIRH substrate";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1782048";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";""
"CHEMBL2163626";"";"None";"380.45";"0";"2.87";"46";"CCOc1ccc(Nc2c(C)c(N[C@H]3CCCNC3=O)nc3ccnn23)cc1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2167126";"Inhibition of MAPKAP-K2 using KKLNRTLSVA as substrate and [33P]-gamma-ATP after 30 mins by liquid scintillation counter";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2163300";"1";"Scientific Literature";"J Med Chem";"2012";"None";""
"CHEMBL2163627";"";"None";"380.50";"0";"3.37";"45";"CCOc1ccc(Nc2c(C)c(N(C)C3CCCNC3)nc3ccnn23)cc1";"IC50";"'='";"26000.0";"nM";"4.58";"";"";"UO_0000065";"12.05";"0.22";"1.22";"6.87";"0";"CHEMBL2167126";"Inhibition of MAPKAP-K2 using KKLNRTLSVA as substrate and [33P]-gamma-ATP after 30 mins by liquid scintillation counter";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2163300";"1";"Scientific Literature";"J Med Chem";"2012";"None";""
"CHEMBL2163981";"";"None";"380.50";"0";"3.86";"38";"CCOc1ccc(Nc2c(C)c(N[C@H]3CC[C@H](N)CC3)nc3ccnn23)cc1";"IC50";"'='";"360.0";"nM";"6.44";"";"";"UO_0000065";"16.93";"0.31";"2.58";"7.20";"0";"CHEMBL2167126";"Inhibition of MAPKAP-K2 using KKLNRTLSVA as substrate and [33P]-gamma-ATP after 30 mins by liquid scintillation counter";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2163300";"1";"Scientific Literature";"J Med Chem";"2012";"None";""
"CHEMBL2163983";"";"None";"368.80";"0";"4.59";"36";"Nc1ccc(Nc2cc(Nc3ccc(F)c(Cl)c3)n3nccc3n2)cc1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2167126";"Inhibition of MAPKAP-K2 using KKLNRTLSVA as substrate and [33P]-gamma-ATP after 30 mins by liquid scintillation counter";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2163300";"1";"Scientific Literature";"J Med Chem";"2012";"None";""
"CHEMBL2163988";"";"None";"430.96";"1";"5.33";"31";"CCN(CC)[C@H]1CC[C@H](Nc2cc(Nc3ccc(F)c(Cl)c3)n3nccc3n2)CC1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2167126";"Inhibition of MAPKAP-K2 using KKLNRTLSVA as substrate and [33P]-gamma-ATP after 30 mins by liquid scintillation counter";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2163300";"1";"Scientific Literature";"J Med Chem";"2012";"None";""
"CHEMBL2385546";"";"None";"581.68";"2";"6.05";"2q";"COc1ccncc1-c1ccccc1CN1C(=O)c2oc(-c3ccc(C#N)cc3)cc2Cc2cc(N3CCNCC3)ccc21";"IC50";"'='";"6.8";"nM";"8.17";"";"";"UO_0000065";"14.04";"0.25";"2.12";"8.63";"0";"CHEMBL2389966";"Inhibition of MK2 (unknown origin) phosphorylation using TAMRA labeled peptide as substrate incubated 30 mins before substrate addition measured after 30 mins";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2384992";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";""
"CHEMBL2385541";"";"None";"591.11";"2";"6.83";"2k";"COc1cc(-c2ccccc2CN2C(=O)c3oc(-c4ccc(Cl)cc4)cc3Cc3cc(N4CCNCC4)ccc32)ccn1";"IC50";"'='";"21.0";"nM";"7.68";"";"";"UO_0000065";"12.99";"0.24";"0.85";"10.84";"0";"CHEMBL2389966";"Inhibition of MK2 (unknown origin) phosphorylation using TAMRA labeled peptide as substrate incubated 30 mins before substrate addition measured after 30 mins";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2384992";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";""
"CHEMBL1945559";"";"None";"363.25";"0";"2.96";"20";"Cn1c2c(c3ccc(Cl)c(Cl)c31)C(C#N)C1(CCNCC1)NC2=O";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1948132";"Inhibition of MK2 using ATP as substrate";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1944596";"1";"Scientific Literature";"J Med Chem";"2012";"None";""
"CHEMBL1783670";"";"None";"442.93";"0";"3.95";"5q";"Nc1ncc(Cl)nc1CNC(=S)Nc1ccc(NC(=O)OCc2ccccc2)cc1";"IC50";"'='";"460.0";"nM";"6.34";"";"";"UO_0000065";"14.31";"0.29";"2.39";"5.55";"0";"CHEMBL1786602";"Inhibition of MK2 using biotin-LCAYSRALSRQLSSGVSEIRH substrate";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1782048";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";""
"CHEMBL3629330";"";"None";"434.50";"0";"4.08";"13l";"CCCc1cnc(N)c(CNC(=O)Nc2ccc(NC(=O)OCc3ccccc3)cc2)n1";"IC50";"'='";"8000.0";"nM";"5.10";"";"";"UO_0000065";"11.73";"0.22";"1.02";"3.88";"0";"CHEMBL3630368";"Inhibition of MK2 (unknown origin) by scintillation proximity assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3627620";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";""
"CHEMBL2163616";"";"None";"396.50";"0";"2.97";"59";"COCCOc1ccc(Nc2c(C)c(N[C@H]3CCCNC3)nc3ccnn23)cc1";"IC50";"'='";"7600.0";"nM";"5.12";"";"";"UO_0000065";"12.91";"0.24";"2.15";"6.04";"0";"CHEMBL2166394";"Inhibition of human MAPKAP-K2 in THP1 cells assessed as inhibition of LPS-induced TNFalpha production incubated 1 hr prior to LPS challenge measured 18 hrs post LPS challenge by HTRF assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"THP-1";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2163300";"1";"Scientific Literature";"J Med Chem";"2012";"CHEMBL3307574";""
"CHEMBL2163628";"";"None";"366.47";"0";"3.34";"44";"CCOc1ccc(Nc2c(C)c(NC3CCCNC3)nc3ccnn23)cc1";"IC50";"'='";"400.0";"nM";"6.40";"";"";"UO_0000065";"17.46";"0.32";"3.06";"8.47";"0";"CHEMBL2167126";"Inhibition of MAPKAP-K2 using KKLNRTLSVA as substrate and [33P]-gamma-ATP after 30 mins by liquid scintillation counter";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2163300";"1";"Scientific Literature";"J Med Chem";"2012";"None";""
"CHEMBL467069";"";"None";"466.59";"0";"4.78";"13b";"Cc1c(Nc2c(C#N)cncc2-c2ccc(OCCN3CCN(C)CC3)cc2)ccc2[nH]ccc12";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1007484";"Inhibition of MK2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136942";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";""
"CHEMBL395409";"";"None";"246.27";"0";"1.45";"17";"COc1cccc2c3c([nH]c12)C(C(=O)O)NCC3";"IC50";"'>'";"200000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL922889";"Inhibition of MK2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140654";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";""
"CHEMBL247707";"";"None";"260.29";"0";"1.84";"88";"COc1ccc2[nH]c3c(c2c1)CC(C)NC3C(=O)O";"IC50";"'='";"7100.0";"nM";"5.15";"";"";"UO_0000065";"19.78";"0.37";"3.31";"6.93";"0";"CHEMBL922889";"Inhibition of MK2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140654";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";""
"CHEMBL248110";"";"None";"260.29";"0";"2.01";"70";"COc1ccc2[nH]c3c(c2c1)C(C)CNC3C(=O)O";"IC50";"'='";"2200.0";"nM";"5.66";"";"";"UO_0000065";"21.74";"0.41";"3.65";"7.61";"0";"CHEMBL922889";"Inhibition of MK2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140654";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";""
"CHEMBL397649";"";"None";"260.29";"0";"1.79";"40";"COc1ccc2[nH]c3c(c2c1)CCN(C)C3C(=O)O";"IC50";"'='";"1000.0";"nM";"6.00";"";"";"UO_0000065";"23.05";"0.43";"4.21";"9.15";"0";"CHEMBL922889";"Inhibition of MK2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140654";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";""
"CHEMBL437554";"";"None";"274.28";"0";"1.36";"23";"CC(=O)Oc1ccc2[nH]c3c(c2c1)CCNC3C(=O)O";"IC50";"'='";"170000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL922889";"Inhibition of MK2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140654";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";""
"CHEMBL2036457";"";"None";"485.98";"1";"5.30";"10";"Clc1ccc(-c2ccc(C3=NOC(c4cccnc4)N3c3ccc(N4CCNCC4)cc3)o2)cc1";"IC50";"'='";"50.0";"nM";"7.30";"";"";"UO_0000065";"15.02";"0.28";"2.00";"11.04";"0";"CHEMBL2040538";"Inhibition of MK2 using 5TAMRA-KKLNRTLSVA-COOH as substrate incubated for 30 mins prior to substrate addition measured after 30 mins by immobilized metal ion affinity-based fluorescence polarization assay in presence of 100 uM ATP";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2034849";"1";"Scientific Literature";"ACS Med Chem Lett";"2012";"None";""
"CHEMBL246088";"";"None";"454.56";"0";"2.41";"78";"CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4nc(C(=O)NCCCN(C)C)cs4)cc3c21";"IC50";"'='";"35.0";"nM";"7.46";"";"";"UO_0000065";"16.40";"0.32";"5.05";"6.25";"0";"CHEMBL923957";"Inhibition of MK2 after 30 mins by DELFIA";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140661";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";""
